County,Year,Indicator,Value,Regional Economic Blocs,Event
Makueni,2015,Area (HA),129854,South-Eastern Kenya Economic Bloc,No Significant Events
Makueni,2015,Production (MT),131812,South-Eastern Kenya Economic Bloc,No Significant Events
Makueni,2015,Yield(MT/HA),1.015078473,South-Eastern Kenya Economic Bloc,No Significant Events
Makueni,2016,Area (HA),132320,South-Eastern Kenya Economic Bloc,Drought Year
Makueni,2016,Production (MT),73384,South-Eastern Kenya Economic Bloc,Drought Year
Makueni,2016,Yield(MT/HA),0.554594921,South-Eastern Kenya Economic Bloc,Drought Year
Makueni,2017,Area (HA),108570,South-Eastern Kenya Economic Bloc,Post Election Political Tension
Makueni,2017,Production (MT),26400,South-Eastern Kenya Economic Bloc,Post Election Political Tension
Makueni,2017,Yield(MT/HA),0.243161094,South-Eastern Kenya Economic Bloc,Post Election Political Tension
Makueni,2018,Area (HA),123311,South-Eastern Kenya Economic Bloc,No Significant Events
Makueni,2018,Production (MT),62758.6,South-Eastern Kenya Economic Bloc,No Significant Events
Makueni,2018,Yield(MT/HA),0.508945674,South-Eastern Kenya Economic Bloc,No Significant Events
Makueni,2020,Area (HA),146562,South-Eastern Kenya Economic Bloc,COVID-19 Pandemic
Makueni,2020,Production (MT),51268,South-Eastern Kenya Economic Bloc,COVID-19 Pandemic
Makueni,2020,Yield(MT/HA),0.349804178,South-Eastern Kenya Economic Bloc,COVID-19 Pandemic
Mandera,2012,Area (HA),215,Frontier Counties Development Council (FCDC),Maize Lethal Necrosis Disease
Mandera,2012,Production (MT),1325,Frontier Counties Development Council (FCDC),Maize Lethal Necrosis Disease
Mandera,2012,Yield(MT/HA),0,Frontier Counties Development Council (FCDC),Maize Lethal Necrosis Disease
Mandera,2013,Area (HA),1987,Frontier Counties Development Council (FCDC),Post Election Political Tension
Mandera,2013,Production (MT),1324.71,Frontier Counties Development Council (FCDC),Post Election Political Tension
Mandera,2013,Yield(MT/HA),0.666688475,Frontier Counties Development Council (FCDC),Post Election Political Tension
Mandera,2014,Area (HA),2682,Frontier Counties Development Council (FCDC),Maize Lethal Necrosis Disease
Mandera,2014,Production (MT),1609,Frontier Counties Development Council (FCDC),Maize Lethal Necrosis Disease
Mandera,2014,Yield(MT/HA),0.599925429,Frontier Counties Development Council (FCDC),Maize Lethal Necrosis Disease
Mandera,2015,Area (HA),788,Frontier Counties Development Council (FCDC),No Significant Events
Mandera,2015,Production (MT),278,Frontier Counties Development Council (FCDC),No Significant Events
Mandera,2015,Yield(MT/HA),0.352791878,Frontier Counties Development Council (FCDC),No Significant Events
Mandera,2016,Area (HA),780,Frontier Counties Development Council (FCDC),Drought Year
Mandera,2016,Production (MT),380,Frontier Counties Development Council (FCDC),Drought Year
Mandera,2016,Yield(MT/HA),0.487179487,Frontier Counties Development Council (FCDC),Drought Year
Mandera,2017,Area (HA),3071,Frontier Counties Development Council (FCDC),Post Election Political Tension
Mandera,2017,Production (MT),1441,Frontier Counties Development Council (FCDC),Post Election Political Tension
Mandera,2017,Yield(MT/HA),0.469228264,Frontier Counties Development Council (FCDC),Post Election Political Tension
Mandera,2018,Area (HA),1060,Frontier Counties Development Council (FCDC),No Significant Events
Mandera,2018,Production (MT),347,Frontier Counties Development Council (FCDC),No Significant Events
Mandera,2018,Yield(MT/HA),0.327358491,Frontier Counties Development Council (FCDC),No Significant Events
Mandera,2020,Area (HA),3708,Frontier Counties Development Council (FCDC),COVID-19 Pandemic
Mandera,2020,Production (MT),1846.75,Frontier Counties Development Council (FCDC),COVID-19 Pandemic
Mandera,2020,Yield(MT/HA),0.498044768,Frontier Counties Development Council (FCDC),COVID-19 Pandemic
Marsabit,2012,Area (HA),274,Frontier Counties Development Council (FCDC),Maize Lethal Necrosis Disease
Marsabit,2012,Production (MT),214.38,Frontier Counties Development Council (FCDC),Maize Lethal Necrosis Disease
Marsabit,2012,Yield(MT/HA),0.782408759,Frontier Counties Development Council (FCDC),Maize Lethal Necrosis Disease
Marsabit,2013,Area (HA),990,Frontier Counties Development Council (FCDC),Post Election Political Tension
Marsabit,2013,Production (MT),987.48,Frontier Counties Development Council (FCDC),Post Election Political Tension
Marsabit,2013,Yield(MT/HA),0.997454545,Frontier Counties Development Council (FCDC),Post Election Political Tension
Marsabit,2014,Area (HA),1571,Frontier Counties Development Council (FCDC),Maize Lethal Necrosis Disease
Marsabit,2014,Production (MT),1582,Frontier Counties Development Council (FCDC),Maize Lethal Necrosis Disease
Marsabit,2014,Yield(MT/HA),1.00700191,Frontier Counties Development Council (FCDC),Maize Lethal Necrosis Disease
Marsabit,2015,Area (HA),631,Frontier Counties Development Council (FCDC),No Significant Events
Marsabit,2015,Production (MT),646,Frontier Counties Development Council (FCDC),No Significant Events
Marsabit,2015,Yield(MT/HA),1.023771791,Frontier Counties Development Council (FCDC),No Significant Events
Marsabit,2016,Area (HA),537,Frontier Counties Development Council (FCDC),Drought Year
Marsabit,2016,Production (MT),282,Frontier Counties Development Council (FCDC),Drought Year
Marsabit,2016,Yield(MT/HA),0.525139665,Frontier Counties Development Council (FCDC),Drought Year
Marsabit,2017,Area (HA),537,Frontier Counties Development Council (FCDC),Post Election Political Tension
Marsabit,2017,Production (MT),283,Frontier Counties Development Council (FCDC),Post Election Political Tension
Marsabit,2017,Yield(MT/HA),0.527001862,Frontier Counties Development Council (FCDC),Post Election Political Tension
Marsabit,2018,Area (HA),72012,Frontier Counties Development Council (FCDC),No Significant Events
Marsabit,2018,Production (MT),74726.3,Frontier Counties Development Council (FCDC),No Significant Events
Marsabit,2018,Yield(MT/HA),1.037692329,Frontier Counties Development Council (FCDC),No Significant Events
Marsabit,2020,Area (HA),1023,Frontier Counties Development Council (FCDC),COVID-19 Pandemic
Marsabit,2020,Production (MT),292.5,Frontier Counties Development Council (FCDC),COVID-19 Pandemic
Marsabit,2020,Yield(MT/HA),0.285923754,Frontier Counties Development Council (FCDC),COVID-19 Pandemic
Meru,2012,Area (HA),96244,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Meru,2012,Production (MT),142498.71,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Meru,2012,Yield(MT/HA),1.480598375,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Meru,2013,Area (HA),95594,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Meru,2013,Production (MT),92646.45,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Meru,2013,Yield(MT/HA),0.969165952,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Meru,2014,Area (HA),110489,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Meru,2014,Production (MT),111955,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Meru,2014,Yield(MT/HA),1.013268289,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Meru,2015,Area (HA),91106,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Meru,2015,Production (MT),106046,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Meru,2015,Yield(MT/HA),1.163984809,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Meru,2016,Area (HA),79798,Mt. Kenya and Aberdares Region Economic Bloc,Drought Year
Meru,2016,Production (MT),89570,Mt. Kenya and Aberdares Region Economic Bloc,Drought Year
Meru,2016,Yield(MT/HA),1.12245921,Mt. Kenya and Aberdares Region Economic Bloc,Drought Year
Meru,2017,Area (HA),44354,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Meru,2017,Production (MT),33233,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Meru,2017,Yield(MT/HA),0.749267259,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Meru,2018,Area (HA),82153,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Meru,2018,Production (MT),128126.34,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Meru,2018,Yield(MT/HA),1.559606344,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Meru,2020,Area (HA),67416,Mt. Kenya and Aberdares Region Economic Bloc,COVID-19 Pandemic
Meru,2020,Production (MT),74756.97,Mt. Kenya and Aberdares Region Economic Bloc,COVID-19 Pandemic
Meru,2020,Yield(MT/HA),1.108890619,Mt. Kenya and Aberdares Region Economic Bloc,COVID-19 Pandemic
Migori,2012,Area (HA),78580,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Migori,2012,Production (MT),97513.02,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Migori,2012,Yield(MT/HA),1.240939425,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Migori,2013,Area (HA),54974,Lake Region Economic Bloc (LREB),Post Election Political Tension
Migori,2013,Production (MT),42155.01,Lake Region Economic Bloc (LREB),Post Election Political Tension
Migori,2013,Yield(MT/HA),0.766817223,Lake Region Economic Bloc (LREB),Post Election Political Tension
Migori,2014,Area (HA),67485,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Migori,2014,Production (MT),83703,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Migori,2014,Yield(MT/HA),1.240320071,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Migori,2015,Area (HA),65583,Lake Region Economic Bloc (LREB),No Significant Events
Migori,2015,Production (MT),149296,Lake Region Economic Bloc (LREB),No Significant Events
Migori,2015,Yield(MT/HA),2.276443591,Lake Region Economic Bloc (LREB),No Significant Events
Migori,2016,Area (HA),37989,Lake Region Economic Bloc (LREB),Drought Year
Migori,2016,Production (MT),35199.97,Lake Region Economic Bloc (LREB),Drought Year
Migori,2016,Yield(MT/HA),0.926583221,Lake Region Economic Bloc (LREB),Drought Year
Migori,2017,Area (HA),80312,Lake Region Economic Bloc (LREB),Post Election Political Tension
Migori,2017,Production (MT),108922,Lake Region Economic Bloc (LREB),Post Election Political Tension
Migori,2017,Yield(MT/HA),1.356235681,Lake Region Economic Bloc (LREB),Post Election Political Tension
Migori,2018,Area (HA),439,Lake Region Economic Bloc (LREB),No Significant Events
Migori,2018,Production (MT),308.92,Lake Region Economic Bloc (LREB),No Significant Events
Migori,2018,Yield(MT/HA),0.703690205,Lake Region Economic Bloc (LREB),No Significant Events
Migori,2020,Area (HA),78221.76,Lake Region Economic Bloc (LREB),COVID-19 Pandemic
Migori,2020,Production (MT),95965.83,Lake Region Economic Bloc (LREB),COVID-19 Pandemic
Migori,2020,Yield(MT/HA),1.226843144,Lake Region Economic Bloc (LREB),COVID-19 Pandemic
Mombasa,2012,Area (HA),1003,Jumuia ya Kaunti za Pwani,Maize Lethal Necrosis Disease
Mombasa,2012,Production (MT),450.9,Jumuia ya Kaunti za Pwani,Maize Lethal Necrosis Disease
Mombasa,2012,Yield(MT/HA),0.449551346,Jumuia ya Kaunti za Pwani,Maize Lethal Necrosis Disease
Mombasa,2013,Area (HA),1001,Jumuia ya Kaunti za Pwani,Post Election Political Tension
Mombasa,2013,Production (MT),405.81,Jumuia ya Kaunti za Pwani,Post Election Political Tension
Mombasa,2013,Yield(MT/HA),0.405404595,Jumuia ya Kaunti za Pwani,Post Election Political Tension
Mombasa,2014,Area (HA),653,Jumuia ya Kaunti za Pwani,Maize Lethal Necrosis Disease
Mombasa,2014,Production (MT),338,Jumuia ya Kaunti za Pwani,Maize Lethal Necrosis Disease
Mombasa,2014,Yield(MT/HA),0.517611026,Jumuia ya Kaunti za Pwani,Maize Lethal Necrosis Disease
Mombasa,2015,Area (HA),672,Jumuia ya Kaunti za Pwani,No Significant Events
Mombasa,2015,Production (MT),522,Jumuia ya Kaunti za Pwani,No Significant Events
Mombasa,2015,Yield(MT/HA),0.776785714,Jumuia ya Kaunti za Pwani,No Significant Events
Mombasa,2016,Area (HA),860,Jumuia ya Kaunti za Pwani,Drought Year
Mombasa,2016,Production (MT),86,Jumuia ya Kaunti za Pwani,Drought Year
Mombasa,2016,Yield(MT/HA),0.1,Jumuia ya Kaunti za Pwani,Drought Year
Mombasa,2017,Area (HA),798,Jumuia ya Kaunti za Pwani,Post Election Political Tension
Mombasa,2017,Production (MT),680,Jumuia ya Kaunti za Pwani,Post Election Political Tension
Mombasa,2017,Yield(MT/HA),0.852130326,Jumuia ya Kaunti za Pwani,Post Election Political Tension
Mombasa,2018,Area (HA),65701,Jumuia ya Kaunti za Pwani,No Significant Events
Mombasa,2018,Production (MT),71793.25,Jumuia ya Kaunti za Pwani,No Significant Events
Mombasa,2018,Yield(MT/HA),1.092726899,Jumuia ya Kaunti za Pwani,No Significant Events
Mombasa,2020,Area (HA),606,Jumuia ya Kaunti za Pwani,COVID-19 Pandemic
Mombasa,2020,Production (MT),289,Jumuia ya Kaunti za Pwani,COVID-19 Pandemic
Mombasa,2020,Yield(MT/HA),0.47689769,Jumuia ya Kaunti za Pwani,COVID-19 Pandemic
Murang'a,2012,Area (HA),56654,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Murang'a,2012,Production (MT),50462.28,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Murang'a,2012,Yield(MT/HA),0.890709923,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Murang'a,2013,Area (HA),61416,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Murang'a,2013,Production (MT),56852.73,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Murang'a,2013,Yield(MT/HA),0.925699004,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Murang'a,2014,Area (HA),61543,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Murang'a,2014,Production (MT),52266,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Murang'a,2014,Yield(MT/HA),0.849259867,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Murang'a,2015,Area (HA),64484,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Murang'a,2015,Production (MT),71149,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Murang'a,2015,Yield(MT/HA),1.103358973,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Murang'a,2016,Area (HA),64746,Mt. Kenya and Aberdares Region Economic Bloc,Drought Year
Murang'a,2016,Production (MT),48054,Mt. Kenya and Aberdares Region Economic Bloc,Drought Year
Murang'a,2016,Yield(MT/HA),0.742192568,Mt. Kenya and Aberdares Region Economic Bloc,Drought Year
Murang'a,2017,Area (HA),60242,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Murang'a,2017,Production (MT),38133,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Murang'a,2017,Yield(MT/HA),0.632996912,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Murang'a,2018,Area (HA),803.9,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Murang'a,2018,Production (MT),458.19,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Murang'a,2018,Yield(MT/HA),0.56995895,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Murang'a,2020,Area (HA),66381,Mt. Kenya and Aberdares Region Economic Bloc,COVID-19 Pandemic
Murang'a,2020,Production (MT),63653.3,Mt. Kenya and Aberdares Region Economic Bloc,COVID-19 Pandemic
Murang'a,2020,Yield(MT/HA),0.958908423,Mt. Kenya and Aberdares Region Economic Bloc,COVID-19 Pandemic
Nairobi ,2012,Area (HA),1018,,Maize Lethal Necrosis Disease
Nairobi ,2012,Production (MT),851.58,,Maize Lethal Necrosis Disease
Nairobi ,2012,Yield(MT/HA),0.836522593,,Maize Lethal Necrosis Disease
Nairobi ,2013,Area (HA),1017,,Post Election Political Tension
Nairobi ,2013,Production (MT),802.17,,Post Election Political Tension
Nairobi ,2013,Yield(MT/HA),0.788761062,,Post Election Political Tension
Nairobi ,2014,Area (HA),913,,Maize Lethal Necrosis Disease
Nairobi ,2014,Production (MT),740,,Maize Lethal Necrosis Disease
Nairobi ,2014,Yield(MT/HA),0.810514786,,Maize Lethal Necrosis Disease
Nairobi ,2015,Area (HA),919,,No Significant Events
Nairobi ,2015,Production (MT),1157,,No Significant Events
Nairobi ,2015,Yield(MT/HA),1.258977149,,No Significant Events
Nairobi ,2016,Area (HA),954,,Drought Year
Nairobi ,2016,Production (MT),1049,,Drought Year
Nairobi ,2016,Yield(MT/HA),1.099580713,,Drought Year
Nairobi ,2017,Area (HA),854,,Post Election Political Tension
Nairobi ,2017,Production (MT),551,,Post Election Political Tension
Nairobi ,2017,Yield(MT/HA),0.645199063,,Post Election Political Tension
Nairobi ,2018,Area (HA),86102,,No Significant Events
Nairobi ,2018,Production (MT),238002.4,,No Significant Events
Nairobi ,2018,Yield(MT/HA),2.764191308,,No Significant Events
Nairobi ,2020,Area (HA),0,,COVID-19 Pandemic
Nairobi ,2020,Production (MT),0,,COVID-19 Pandemic
Nairobi ,2020,Yield(MT/HA),0,,COVID-19 Pandemic
Nakuru,2012,Area (HA),89649,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Nakuru,2012,Production (MT),298973.79,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Nakuru,2012,Yield(MT/HA),3.334937255,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Nakuru,2013,Area (HA),90690,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Nakuru,2013,Production (MT),231411.6,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Nakuru,2013,Yield(MT/HA),2.551677142,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Nakuru,2014,Area (HA),86504,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Nakuru,2014,Production (MT),158914,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Nakuru,2014,Yield(MT/HA),1.837071118,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Nakuru,2015,Area (HA),73191,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Nakuru,2015,Production (MT),114687,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Nakuru,2015,Yield(MT/HA),1.566954953,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Nakuru,2016,Area (HA),88021,Mt. Kenya and Aberdares Region Economic Bloc,Drought Year
Nakuru,2016,Production (MT),207404,Mt. Kenya and Aberdares Region Economic Bloc,Drought Year
Nakuru,2016,Yield(MT/HA),2.356301337,Mt. Kenya and Aberdares Region Economic Bloc,Drought Year
Nakuru,2017,Area (HA),88686,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Nakuru,2017,Production (MT),206509,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Nakuru,2017,Yield(MT/HA),2.328541145,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Nakuru,2018,Area (HA),47830,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Nakuru,2018,Production (MT),179198.25,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Nakuru,2018,Yield(MT/HA),3.746565963,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Nakuru,2020,Area (HA),683.6,Mt. Kenya and Aberdares Region Economic Bloc,COVID-19 Pandemic
Nakuru,2020,Production (MT),971.84,Mt. Kenya and Aberdares Region Economic Bloc,COVID-19 Pandemic
Nakuru,2020,Yield(MT/HA),1.421650088,Mt. Kenya and Aberdares Region Economic Bloc,COVID-19 Pandemic
Nandi,2012,Area (HA),73552,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Nandi,2012,Production (MT),217359.72,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Nandi,2012,Yield(MT/HA),2.955184359,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Nandi,2013,Area (HA),70519,North Rift Economic Bloc (NOREB),Post Election Political Tension
Nandi,2013,Production (MT),170033.76,North Rift Economic Bloc (NOREB),Post Election Political Tension
Nandi,2013,Yield(MT/HA),2.411176562,North Rift Economic Bloc (NOREB),Post Election Political Tension
Nandi,2014,Area (HA),74045,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Nandi,2014,Production (MT),167219,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Nandi,2014,Yield(MT/HA),2.2583429,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Nandi,2015,Area (HA),67593,North Rift Economic Bloc (NOREB),No Significant Events
Nandi,2015,Production (MT),189229,North Rift Economic Bloc (NOREB),No Significant Events
Nandi,2015,Yield(MT/HA),2.799535455,North Rift Economic Bloc (NOREB),No Significant Events
Nandi,2016,Area (HA),69933,North Rift Economic Bloc (NOREB),Drought Year
Nandi,2016,Production (MT),204437,North Rift Economic Bloc (NOREB),Drought Year
Nandi,2016,Yield(MT/HA),2.923326613,North Rift Economic Bloc (NOREB),Drought Year
Nandi,2017,Area (HA),64578,North Rift Economic Bloc (NOREB),Post Election Political Tension
Nandi,2017,Production (MT),197272,North Rift Economic Bloc (NOREB),Post Election Political Tension
Nandi,2017,Yield(MT/HA),3.05478646,North Rift Economic Bloc (NOREB),Post Election Political Tension
Nandi,2018,Area (HA),19621,North Rift Economic Bloc (NOREB),No Significant Events
Nandi,2018,Production (MT),50538.05,North Rift Economic Bloc (NOREB),No Significant Events
Nandi,2018,Yield(MT/HA),2.575712247,North Rift Economic Bloc (NOREB),No Significant Events
Nandi,2020,Area (HA),64963,North Rift Economic Bloc (NOREB),COVID-19 Pandemic
Nandi,2020,Production (MT),206150.53,North Rift Economic Bloc (NOREB),COVID-19 Pandemic
Nandi,2020,Yield(MT/HA),3.173352986,North Rift Economic Bloc (NOREB),COVID-19 Pandemic
Narok,2012,Area (HA),109940,Narok-Kajiado Economic Bloc (NAKAEB) ,Maize Lethal Necrosis Disease
Narok,2012,Production (MT),184295.34,Narok-Kajiado Economic Bloc (NAKAEB) ,Maize Lethal Necrosis Disease
Narok,2012,Yield(MT/HA),1.676326542,Narok-Kajiado Economic Bloc (NAKAEB) ,Maize Lethal Necrosis Disease
Narok,2013,Area (HA),113550,Narok-Kajiado Economic Bloc (NAKAEB) ,Post Election Political Tension
Narok,2013,Yield(MT/HA),2.768927081,Narok-Kajiado Economic Bloc (NAKAEB) ,Post Election Political Tension
Narok,2014,Area (HA),112079,Narok-Kajiado Economic Bloc (NAKAEB) ,Maize Lethal Necrosis Disease
Narok,2014,Production (MT),267769,Narok-Kajiado Economic Bloc (NAKAEB) ,Maize Lethal Necrosis Disease
Narok,2014,Yield(MT/HA),2.389109467,Narok-Kajiado Economic Bloc (NAKAEB) ,Maize Lethal Necrosis Disease
Narok,2015,Area (HA),124999,Narok-Kajiado Economic Bloc (NAKAEB) ,No Significant Events
Narok,2015,Production (MT),201348,Narok-Kajiado Economic Bloc (NAKAEB) ,No Significant Events
Narok,2015,Yield(MT/HA),1.610796886,Narok-Kajiado Economic Bloc (NAKAEB) ,No Significant Events
Narok,2016,Area (HA),103500,Narok-Kajiado Economic Bloc (NAKAEB) ,Drought Year
Narok,2016,Production (MT),242735,Narok-Kajiado Economic Bloc (NAKAEB) ,Drought Year
Narok,2016,Yield(MT/HA),2.3452657,Narok-Kajiado Economic Bloc (NAKAEB) ,Drought Year
Narok,2017,Area (HA),102258,Narok-Kajiado Economic Bloc (NAKAEB) ,Post Election Political Tension
Narok,2017,Production (MT),231294,Narok-Kajiado Economic Bloc (NAKAEB) ,Post Election Political Tension
Narok,2017,Yield(MT/HA),2.261867042,Narok-Kajiado Economic Bloc (NAKAEB) ,Post Election Political Tension
Narok,2018,Area (HA),91602,Narok-Kajiado Economic Bloc (NAKAEB) ,No Significant Events
Narok,2018,Production (MT),208306.85,Narok-Kajiado Economic Bloc (NAKAEB) ,No Significant Events
Narok,2018,Yield(MT/HA),2.274042597,Narok-Kajiado Economic Bloc (NAKAEB) ,No Significant Events
Narok,2020,Area (HA),59746,Narok-Kajiado Economic Bloc (NAKAEB) ,COVID-19 Pandemic
Narok,2020,Production (MT),168253.99,Narok-Kajiado Economic Bloc (NAKAEB) ,COVID-19 Pandemic
Narok,2020,Yield(MT/HA),2.816154889,Narok-Kajiado Economic Bloc (NAKAEB) ,COVID-19 Pandemic
Nyamira,2012,Area (HA),54820,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Nyamira,2012,Production (MT),97513.11,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Nyamira,2012,Yield(MT/HA),1.778787121,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Nyamira,2013,Area (HA),53270,Lake Region Economic Bloc (LREB),Post Election Political Tension
Nyamira,2013,Production (MT),62421.75,Lake Region Economic Bloc (LREB),Post Election Political Tension
Nyamira,2013,Yield(MT/HA),1.171799324,Lake Region Economic Bloc (LREB),Post Election Political Tension
Nyamira,2014,Area (HA),35549,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Nyamira,2014,Production (MT),41115,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Nyamira,2014,Yield(MT/HA),1.156572618,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Nyamira,2015,Area (HA),40989,Lake Region Economic Bloc (LREB),No Significant Events
Nyamira,2015,Production (MT),61547,Lake Region Economic Bloc (LREB),No Significant Events
Nyamira,2015,Yield(MT/HA),1.501549196,Lake Region Economic Bloc (LREB),No Significant Events
Nyamira,2016,Area (HA),41689,Lake Region Economic Bloc (LREB),Drought Year
Nyamira,2016,Production (MT),55492,Lake Region Economic Bloc (LREB),Drought Year
Nyamira,2016,Yield(MT/HA),1.331094533,Lake Region Economic Bloc (LREB),Drought Year
Nyamira,2017,Area (HA),51800,Lake Region Economic Bloc (LREB),Post Election Political Tension
Nyamira,2017,Production (MT),74189,Lake Region Economic Bloc (LREB),Post Election Political Tension
Nyamira,2017,Yield(MT/HA),1.432220077,Lake Region Economic Bloc (LREB),Post Election Political Tension
Nyamira,2018,Area (HA),60101,Lake Region Economic Bloc (LREB),No Significant Events
Nyamira,2018,Production (MT),91040.7,Lake Region Economic Bloc (LREB),No Significant Events
Nyamira,2018,Yield(MT/HA),1.514795095,Lake Region Economic Bloc (LREB),No Significant Events
Nyamira,2020,Area (HA),116717,Lake Region Economic Bloc (LREB),COVID-19 Pandemic
Nyamira,2020,Production (MT),202854.5,Lake Region Economic Bloc (LREB),COVID-19 Pandemic
Nyamira,2020,Yield(MT/HA),1.738003033,Lake Region Economic Bloc (LREB),COVID-19 Pandemic
Nyandarua,2012,Area (HA),19588,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Nyandarua,2012,Production (MT),27441.81,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Nyandarua,2012,Yield(MT/HA),1.400950071,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Nyandarua,2013,Area (HA),10490,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Nyandarua,2013,Production (MT),15682.95,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Nyandarua,2013,Yield(MT/HA),1.495038132,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Nyandarua,2014,Area (HA),10366,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Nyandarua,2014,Production (MT),13103.19,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
